,sales_id,sale_date,sale_amount,price_per_acre_lot_area,price_per_building_area,recording_date,property_id
5721,e9e7f625-fa0b-5f77-937b-b696719738d8,1998-02-26,,,,1998-02-26,1b36a54c-2477-514f-bb22-bc8f47babba9
5722,7854f627-b871-520e-b249-ac93e8053a7a,2007-12-31,1017500.0,763466.7723154305,96.9047619047619,2008-01-04,b8d61d31-52ea-57e5-8405-d591eaa3cf55
5723,be7496a1-9c10-5969-a474-6fb7a06d3540,2002-10-02,0.0,,0.0,2002-12-03,b8d61d31-52ea-57e5-8405-d591eaa3cf55
5724,fc94717f-c5ed-5101-bbe3-40de7b3fd064,2001-07-02,97500.0,73157.74968133117,9.285714285714286,2001-07-13,b8d61d31-52ea-57e5-8405-d591eaa3cf55
5725,8b7a46c0-5ee4-53db-ade6-0fc0406df642,1992-01-01,0.0,,0.0,1992-01-01,b8d61d31-52ea-57e5-8405-d591eaa3cf55
5726,913f8849-561b-5a1d-9be2-4553fe960036,2007-11-14,1377000.0,513897.5325565456,152.74542429284526,2007-11-26,56fb47a8-032a-5fc0-9d46-1fc078e99d04
5727,2cb731c6-a022-5868-9024-7abdec87b10e,1998-01-23,443500.0,165514.56477039066,49.19578480310594,1998-01-28,56fb47a8-032a-5fc0-9d46-1fc078e99d04
5728,0007b0a8-b4dd-5628-8b59-2c5273290378,2015-10-28,1500000.0,501223.5254408911,107.2654462242563,2015-11-05,3715b88c-bd3f-598c-961e-df1ddf8e590d
5729,307cc634-da85-5a74-a937-72e5c43ee4e7,2007-11-01,,,,2007-11-09,3715b88c-bd3f-598c-961e-df1ddf8e590d
5730,928c8bf2-ac9f-50f2-93bd-509f064e459d,2003-03-27,1600000.0,534638.4271369505,114.41647597254004,2003-04-02,3715b88c-bd3f-598c-961e-df1ddf8e590d
5731,5cfd4ff4-4ede-5aa2-8831-ea9bee3b3dc2,1991-05-01,1125000.0,375917.64408066834,80.44908466819221,1991-05-13,3715b88c-bd3f-598c-961e-df1ddf8e590d
5732,161d0df1-c567-5012-835a-bbd582a58f21,2004-02-19,430000.0,138263.25735207275,44.02129402129402,2004-05-11,3b12b5ec-2b49-55ce-8cda-9ae04e31e9c7
5733,e03a7f7d-ed1a-51fb-9397-171b55345159,2002-05-23,,,,2002-05-29,3b12b5ec-2b49-55ce-8cda-9ae04e31e9c7
